event_id,outcome,short,channel,family,gap_post,pct_effect,effect_display,effect_for_plot,effect_label,mag_sd,persistence,pre_trend_p,treated_pre_rmspe,median_donor_pre_rmspe,prefit_class,rank,n_units,classic_p,loo_frac_same_sign,C1_prefit,C2_magnitude,C3_persistence,C4_placebo,C5_robust,robustness_score,tier,considerable,direction
DF_2010_01,retail,Retail volume,consumption,monthly,-4.552582058256455,-3.4783710536601857,pct,-3.4783710536601857,-3.5%,1.367346651315855,0.8333333333333334,0.565684668546506,2.9307801349976175,1.666378775858547,D,12,24,0.5,0,FALSE,TRUE,TRUE,FALSE,FALSE,2,non-interpretable,FALSE,negative
DF_2010_01,formal_hiring,Formal hiring,labor_market,monthly,-15.352933082310136,,absolute,-15.352933082310136,-15.4,0.19881097439371417,0.5833333333333334,0.43810787639221305,83.41238593689965,45.67589087753376,D,21,24,0.875,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,non-interpretable,FALSE,negative
DF_2010_01,construction,Construction,labor_market,monthly,7.10005059349398,,absolute,7.10005059349398,+7.1,0.4514032800475141,0.5833333333333334,0.9608906203254556,11.06366493161791,9.621025127596749,C,1,24,0.041666666666666664,1,TRUE,FALSE,FALSE,TRUE,TRUE,3,suggestive,TRUE,positive
DF_2010_01,icms_confaz,ICMS,public_sector,monthly,-0.10331239912858718,-9.815480618272176,pct,-9.815480618272176,-9.8%,1.985221577032021,0.875,0.30859390660854835,0.1166363487427838,0.06603991326666102,D,21,24,0.875,1,FALSE,TRUE,TRUE,FALSE,TRUE,3,non-interpretable,FALSE,negative
DF_2010_01,tax_confaz,Tax revenue,public_sector,monthly,-0.03869285949743532,-3.795385288932418,pct,-3.795385288932418,-3.8%,0.37820783216997145,0.7083333333333334,0.4428248222903789,0.11107253587418288,0.06983903070021118,C,22,24,0.9166666666666666,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative
