period,period_date,year,quarter,sidra_period_code,sidra_period_label,uf,state_abbrev,state_name,macroregion,pnadc_population,pnadc_population_original_unit,unemployment_rate_pnadc,labor_income_real_pnadc,informality_rate_pnadc,formalization_rate_pnadc,income_variable_used,population_concept,formalization_rule,source_system,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,instability_start_date,removal_date
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,28,SE,Sergipe,Northeast,1698000,Mil pessoas,0.08800000000000001,2372,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,35,SP,Sao Paulo,Southeast,35929000,Mil pessoas,0.098,4288,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q3,2015-07-01,2015,3,201503,3 trimestre 2015,17,TO,Tocantins,North,1071000,Mil pessoas,0.093,2735,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,12,AC,Acre,North,575000,Mil pessoas,0.077,2531,0.532,0.468,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,27,AL,Alagoas,Northeast,2421000,Mil pessoas,0.114,2170,0.461,0.5389999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,13,AM,Amazonas,North,2696000,Mil pessoas,0.093,2679,0.541,0.459,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:AM_2017_01,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,16,AP,Amapa,North,523000,Mil pessoas,0.13,3101,0.488,0.512,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,29,BA,Bahia,Northeast,11239000,Mil pessoas,0.124,2166,0.545,0.455,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,23,CE,Ceara,Northeast,6843000,Mil pessoas,0.091,2123,0.54,0.46,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,53,DF,Distrito Federal,Center-West,2235000,Mil pessoas,0.098,6112,0.253,0.747,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,32,ES,Espirito Santo,Southeast,3084000,Mil pessoas,0.092,3198,0.365,0.635,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,52,GO,Goias,Center-West,5234000,Mil pessoas,0.078,3028,0.387,0.613,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,21,MA,Maranhao,Northeast,4956000,Mil pessoas,0.084,1679,0.649,0.351,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,31,MG,Minas Gerais,Southeast,16652000,Mil pessoas,0.094,2946,0.375,0.625,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,50,MS,Mato Grosso do Sul,Center-West,1994000,Mil pessoas,0.06,3148,0.381,0.619,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,51,MT,Mato Grosso,Center-West,2535000,Mil pessoas,0.05799999999999999,3140,0.389,0.611,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,15,PA,Para,North,5963000,Mil pessoas,0.087,2082,0.609,0.391,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,25,PB,Paraiba,Northeast,3040000,Mil pessoas,0.097,2200,0.519,0.481,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,26,PE,Pernambuco,Northeast,7248000,Mil pessoas,0.111,2431,0.464,0.536,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,22,PI,Piaui,Northeast,2539000,Mil pessoas,0.073,2072,0.5820000000000001,0.4179999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,41,PR,Parana,South,8909000,Mil pessoas,0.059,3476,0.317,0.683,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,33,RJ,Rio de Janeiro,Southeast,13989000,Mil pessoas,0.087,3597,0.313,0.687,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,24,RN,Rio Grande do Norte,Northeast,2618000,Mil pessoas,0.123,2518,0.446,0.554,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,11,RO,Rondonia,North,1247000,Mil pessoas,0.065,2654,0.482,0.518,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,14,RR,Roraima,North,348000,Mil pessoas,0.08199999999999999,3013,0.431,0.569,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,TRUE,FALSE,TRUE,treated_unit,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,43,RS,Rio Grande do Sul,South,9055000,Mil pessoas,0.067,3511,0.316,0.6839999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,42,SC,Santa Catarina,South,5659000,Mil pessoas,0.043,3540,0.262,0.738,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,28,SE,Sergipe,Northeast,1712000,Mil pessoas,0.101,2322,0.502,0.498,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,35,SP,Sao Paulo,Southeast,36010000,Mil pessoas,0.102,4479,0.266,0.734,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q4,2015-10-01,2015,4,201504,4 trimestre 2015,17,TO,Tocantins,North,1086000,Mil pessoas,0.09,2632,0.433,0.567,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,12,AC,Acre,North,574000,Mil pessoas,0.08800000000000001,2759,0.544,0.456,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,27,AL,Alagoas,Northeast,2428000,Mil pessoas,0.129,2275,0.464,0.536,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,13,AM,Amazonas,North,2693000,Mil pessoas,0.13,2753,0.5579999999999999,0.44200000000000006,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:AM_2017_01,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,16,AP,Amapa,North,524000,Mil pessoas,0.14800000000000002,3195,0.489,0.511,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,29,BA,Bahia,Northeast,11230000,Mil pessoas,0.157,2309,0.541,0.459,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,23,CE,Ceara,Northeast,6871000,Mil pessoas,0.109,2256,0.534,0.466,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,53,DF,Distrito Federal,Center-West,2246000,Mil pessoas,0.113,6423,0.253,0.747,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,32,ES,Espirito Santo,Southeast,3094000,Mil pessoas,0.112,3346,0.35600000000000004,0.6439999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,52,GO,Goias,Center-West,5254000,Mil pessoas,0.102,3128,0.389,0.611,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,21,MA,Maranhao,Northeast,4979000,Mil pessoas,0.112,1693,0.657,0.34299999999999997,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,31,MG,Minas Gerais,Southeast,16685000,Mil pessoas,0.113,3224,0.373,0.627,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,50,MS,Mato Grosso do Sul,Center-West,2021000,Mil pessoas,0.078,3516,0.359,0.641,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,51,MT,Mato Grosso,Center-West,2556000,Mil pessoas,0.093,3340,0.3670000000000001,0.633,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,15,PA,Para,North,5994000,Mil pessoas,0.101,2234,0.607,0.393,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,25,PB,Paraiba,Northeast,3058000,Mil pessoas,0.103,2353,0.525,0.475,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,26,PE,Pernambuco,Northeast,7264000,Mil pessoas,0.134,2619,0.475,0.525,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,22,PI,Piaui,Northeast,2544000,Mil pessoas,0.096,2226,0.595,0.405,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,41,PR,Parana,South,8952000,Mil pessoas,0.081,3664,0.32,0.6799999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,33,RJ,Rio de Janeiro,Southeast,14009000,Mil pessoas,0.102,3918,0.317,0.683,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,24,RN,Rio Grande do Norte,Northeast,2626000,Mil pessoas,0.145,2543,0.45,0.55,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,11,RO,Rondonia,North,1254000,Mil pessoas,0.076,2671,0.467,0.5329999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,14,RR,Roraima,North,348000,Mil pessoas,0.084,3286,0.44,0.56,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,TRUE,FALSE,TRUE,treated_unit,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,43,RS,Rio Grande do Sul,South,9101000,Mil pessoas,0.076,3875,0.322,0.6779999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,42,SC,Santa Catarina,South,5681000,Mil pessoas,0.061,3662,0.271,0.729,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,28,SE,Sergipe,Northeast,1723000,Mil pessoas,0.116,2531,0.516,0.484,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,35,SP,Sao Paulo,Southeast,36040000,Mil pessoas,0.122,4706,0.267,0.733,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q1,2016-01-01,2016,1,201601,1 trimestre 2016,17,TO,Tocantins,North,1095000,Mil pessoas,0.108,2880,0.428,0.5720000000000001,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,12,AC,Acre,North,582000,Mil pessoas,0.111,2520,0.483,0.517,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,27,AL,Alagoas,Northeast,2431000,Mil pessoas,0.141,2047,0.485,0.515,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,13,AM,Amazonas,North,2705000,Mil pessoas,0.135,2522,0.5670000000000001,0.43299999999999994,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:AM_2017_01,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,16,AP,Amapa,North,528000,Mil pessoas,0.162,3108,0.487,0.5129999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,29,BA,Bahia,Northeast,11256000,Mil pessoas,0.156,2005,0.5489999999999999,0.45100000000000007,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,23,CE,Ceara,Northeast,6901000,Mil pessoas,0.116,2086,0.539,0.461,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,53,DF,Distrito Federal,Center-West,2243000,Mil pessoas,0.11,5820,0.255,0.745,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,32,ES,Espirito Santo,Southeast,3083000,Mil pessoas,0.116,3016,0.373,0.627,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,52,GO,Goias,Center-West,5269000,Mil pessoas,0.103,2941,0.393,0.607,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,21,MA,Maranhao,Northeast,4976000,Mil pessoas,0.121,1644,0.643,0.357,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,31,MG,Minas Gerais,Southeast,16709000,Mil pessoas,0.11,2785,0.377,0.623,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,50,MS,Mato Grosso do Sul,Center-West,2028000,Mil pessoas,0.07,3000,0.358,0.642,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,51,MT,Mato Grosso,Center-West,2577000,Mil pessoas,0.1,3173,0.379,0.621,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,15,PA,Para,North,6033000,Mil pessoas,0.109,2061,0.607,0.393,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,25,PB,Paraiba,Northeast,3068000,Mil pessoas,0.11,2084,0.515,0.485,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,26,PE,Pernambuco,Northeast,7253000,Mil pessoas,0.142,2393,0.478,0.522,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,22,PI,Piaui,Northeast,2540000,Mil pessoas,0.101,2056,0.591,0.409,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,41,PR,Parana,South,8982000,Mil pessoas,0.08199999999999999,3321,0.32,0.6799999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2016Q2,2016-04-01,2016,2,201602,2 trimestre 2016,33,RJ,Rio de Janeiro,Southeast,13982000,Mil pessoas,0.115,3603,0.326,0.6739999999999999,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
